HIP	RA	Dec	V	V_sigma	(B-V)	(B-V)_sigma	(U-B)	(U-B)_sigma	(V-R)	(V-R)_sigma	(V-I)	(V-I)_sigma
73815	15 05 13.2481747000	+06 17 23.691579336	8.174	0.003	0.663	0.006	0.164	0.005	0.352	0.009	0.696	0.006
74341	15 11 37.0759941129	+24 13 58.478216413	8.86	0.013	0.673	0.013	0.165	0.018	0.348	0.01	0.689	0.007
74389	15 12 10.3535587878	-30 53 10.651147031	7.773	0.014	0.636	0.014	0.153	0.014	0.349	0.004	0.687	0.005
75923	15 30 25.1789564818	-01 19 07.711880222	9.156	0.012	0.658	0.006	0.137	0.004	0.353	0.013	0.704	0.015
77052	15 44 01.8189306784	+02 30 54.600773948	5.868	0.011	0.686	0.011	0.234	0.01	0.38	0.01	0.74	0.01
77883	15 54 19.7884329411	-08 34 49.368533050	8.755	0.02	0.687	0.008	0.224	0.005	0.371	0.004	0.729	0.014
78028	15 55 56.7856626185	+36 43 22.311863341	8.651	0.012	0.638	0.019	0.118	0.024	0.334	0.016	0.683	0.016
78680	16 03 42.8284799351	+34 00 46.707993424	8.243	0.013	0.626	0.018	0.079	0.021	0.337	0.016	0.698	0.016
79186	16 09 41.1792755968	+40 07 08.635589941	8.341	0.014	0.676	0.004	0.14	0.033	0.356	0.022	0.724	0.018
79304	16 11 06.4150904580	+02 54 51.667112930	8.703	0.021	0.646	0.015	0.16	0.009	0.347	0.004	0.683	0.008
79578	16 14 11.9123896277	-31 39 49.208930807	6.533	0.033	0.647	0.007	0.145	0.012	0.352	0.008	0.699	0.004
79672	16 15 37.2703721200	-08 22 09.981989277	5.51	0.009	0.65	0.004	0.177	0.004	0.357	0.005	0.691	0.011
80337	16 24 01.2905970257	-39 11 34.734611237	5.391	0.012	0.628	0.011	0.108	0.048	0.353	0.005	0.681	0.006
81512	16 38 59.2167794495	+45 35 22.481402881	9.245	0.015	0.652	0.017	0.14	0.019	0.353	0.019	0.712	0.016
82853	16 55 57.4732688982	-83 13 06.830018915	8.965	0.163	0.66	0.007	0.181	0.004	0.396	0.004	0.729	0.008
83601	17 05 16.8186294192	+00 42 09.217571716	6.013	0.008	0.575	0.005	0.041	0.012	0.325	0.01	0.635	0.01
83707	17 06 28.9207039985	-47 50 45.075175601	8.605	0.011	0.655	0.004	0.181	0.004	0.35	0.004	0.699	0.004
85042	17 22 51.2877095327	-02 23 17.439826176	6.287	0.004	0.679	0.004	0.233	0.008	0.364	0.02	0.707	0.051
85272	17 25 26.3109277967	-67 21 33.068173168	9.121	0	0.632	0.016	0.095	0.012	0.363	0.009	0.717	0.006
85285	17 25 36.6226617150	-21 37 54.454472972	8.365	0.015	0.629	0.011	0.065	0.013	0.348	0.009	0.712	0.008
86796	17 44 08.7036342277	-51 50 02.591049123	5.124	0.006	0.7	0.004	0.24	0.004	0.385	0.004	0.708	0.004
88194	18 00 38.8946598123	+29 34 18.922470861	7.101	0.035	0.639	0.008	0.126	0.004	0.36	0.006	0.712	0.008
88427	18 03 12.8684133508	+35 58 05.608986406	9.329	0.006	0.638	0.013	0.089	0.022	0.336	0.018	0.704	0.007
89162	18 11 46.9833527262	-70 19 07.517534576	8.902	0.005	0.658	0.005	0.176	0.004	0.36	0.006	0.696	0.006
89443	18 15 15.2553486692	+59 49 36.210748979	8.843	0.004	0.66	0.007	0.147	0.013	0.359	0.006	0.715	0.006
89650	18 17 44.1430392514	-61 42 31.622613666	8.944	0.001	0.643	0.004	0.126	0.004	0.356	0.004	0.688	0.009
91332	18 37 42.6265845351	-07 20 12.133682580	7.971	0.008	0.692	0.007	0.263	0.004	0.365	0.015	0.705	0.004
100963	20 28 11.8155584127	+22 07 44.367004336	7.089	0.021	0.651	0.013	0.128	0.024	0.342	0.004	0.703	0.007
102152	20 41 54.6337513102	-27 12 57.415448921	9.208	0.015	0.669	0.004	0.176	0.019	0.382	0.004	0.726	0.004
104504	21 10 07.9267626048	-24 49 23.180015241	8.544	0.021	0.622	0.004	0.068	0.012	0.363	0.004	0.701	0.004
108708	22 01 14.7195322612	-19 18 45.828443731	8.939	0.003	0.659	0.004	0.162	0.012	0.368	0.004	0.711	0.004
108996	22 04 49.7315427174	-23 43 46.504104021	8.881	0.012	0.648	0.008	0.152	0.025	0.351	0.011	0.691	0.011
109931	22 15 54.6539905707	+24 55 40.790676149	8.956	0.019	0.663	0.006	0.194	0.016	0.367	0.034	0.71	0.02
118159	23 58 04.5372070362	-00 07 41.496275808	9.01	0.006	0.627	0.004	0.09	0.004	0.341	0.007	0.68	0.004
